Most negative lemmas,Most positive lemmas
"('fingernail', 2.037037037037037)","('healing', 4.483870967741935)"
"('poorly', 2.0404858299595143)","('charismatic', 4.481481481481482)"
"('shoddy', 2.0434782608695654)","('highly', 4.481437329700272)"
"('hastily', 2.0454545454545454)","('competitively', 4.48)"
"('hostile', 2.0454545454545454)","('troy', 4.47887323943662)"
"('scold', 2.0526315789473686)","('hooked', 4.477148080438757)"
"('indifference', 2.0555555555555554)","('hiker', 4.476190476190476)"
"('pitiful', 2.0555555555555554)","('paolo', 4.473684210526316)"
"('shrug', 2.057142857142857)","('insight', 4.472727272727273)"
"('blatantly', 2.06)","('phenomenal', 4.472332015810276)"
"('interrupted', 2.0602409638554215)","('helpfulness', 4.470588235294118)"
"('aggressively', 2.0606060606060606)","('tribal', 4.470588235294118)"
"('unedible', 2.0625)","('emporium', 4.470588235294118)"
"('hateful', 2.0625)","('cycling', 4.470588235294118)"
"('unwilling', 2.064516129032258)","('suckling', 4.470588235294118)"
"('fecal', 2.066666666666667)","('indulgent', 4.470588235294118)"
"('serial', 2.066666666666667)","('frit', 4.470588235294118)"
"('aggravation', 2.0689655172413794)","('drool', 4.46875)"
"('impolite', 2.0714285714285716)","('seamlessly', 4.46875)"
"('ungrateful', 2.0714285714285716)","('pampered', 4.4672897196261685)"
"('flavorless', 2.077244258872651)","('tango', 4.466666666666667)"
"('downhill', 2.081168831168831)","('gorgeously', 4.466666666666667)"
"('horrid', 2.082706766917293)","('trotter', 4.466666666666667)"
"('empathy', 2.0833333333333335)","('seater', 4.466666666666667)"
"('collateral', 2.0833333333333335)","('centerpiece', 4.465116279069767)"
"('unfriendly', 2.0886524822695036)","('ingenious', 4.464285714285714)"
"('denominator', 2.090909090909091)","('cobra', 4.461538461538462)"
"('unpaid', 2.090909090909091)","('painless', 4.461538461538462)"
"('rational', 2.090909090909091)","('anesthesia', 4.461538461538462)"
"('cox', 2.0921052631578947)","('inspirational', 4.461538461538462)"
"('sewage', 2.0943396226415096)","('spooning', 4.461538461538462)"
"('sternly', 2.1)","('esoteric', 4.461538461538462)"
"('spat', 2.1)","('talented', 4.460106382978723)"
"('catastrophe', 2.1)","('trustworthy', 4.458823529411765)"
"('delusional', 2.1)","('electrician', 4.458333333333333)"
"('scab', 2.1)","('utmost', 4.458333333333333)"
"('liability', 2.1)","('taffy', 4.458333333333333)"
"('laughable', 2.1)","('soho', 4.458333333333333)"
"('helpless', 2.1)","('roofing', 4.458333333333333)"
"('unseasoned', 2.1)","('awesomely', 4.4576271186440675)"
"('horrendous', 2.106145251396648)","('impeccable', 4.457593688362919)"
"('waste', 2.10857908847185)","('snowflake', 4.457142857142857)"
"('moldy', 2.109090909090909)","('unpretentious', 4.456140350877193)"
"('prepay', 2.111111111111111)","('knowledgeable', 4.454746136865342)"
"('roach', 2.111842105263158)","('troupe', 4.454545454545454)"
"('clump', 2.1129032258064515)","('simulation', 4.454545454545454)"
"('lousy', 2.1153846153846154)","('moro', 4.454545454545454)"
"('altercation', 2.1176470588235294)","('bushing', 4.454545454545454)"
"('false', 2.119047619047619)","('artful', 4.454545454545454)"
"('budge', 2.12)","('gizzard', 4.454545454545454)"
"('billing', 2.1215469613259668)","('clint', 4.454545454545454)"
"('deception', 2.125)","('kino', 4.454545454545454)"
